Game Title,Designer,Publisher,Free or Paid,Price,Number of Players,Playtime,Age Range,Theme,Main Mechanism,Secondary Mechanism,Gameplay Complexity,Gameplay Mode,Game Category,PnP Crafting Challenge Level,One-Sentence Short Description,Long Description,Download Link,Secondary Download Link,Print Components,Other Components,Languages,Release Year,Game Image,Curated Lists,Report Dead Link
Wipers Salient,Felbrigg Herriot,Web Published,Paid,$3,1,up to 60 minutes,12+,Historical / War,Deck Building,,LIGHT,,,Simple Cuts (a few cards or tiles),"Brutally tough, World War 1-themed solitaire deck building game.","Wipers Salient is a solitaire deck building game using a deck of 52 specialised cards. You have to gather your resources to maintain your Health and Morale, whilst attacking the enemy to avoid being overwhelmed.",https://www.wargamevault.com/product/145488/Wipers-Salient,,52 cards,,English,2015,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/V1gF0gAiavJln6H4SuVn.jpg,,help@pnpfinder.com
Tiny Eldritch Horror,Bojan Prakljacic,Web Published,Free,,1,120+ minutes,12+,Horror / Supernatural,Dice Rolling,Point-to-Point Movement,MEDIUM,,,Simple Cuts (a few cards or tiles),Eldritch Horror in 9 cards.,"Tiny Eldritch Horror started life as an attempt by famed indie game designer Bojan Prakljacic to reduce the FFG game Eldritch Horror to just 9 cards, some dice, and some markers. The result is nothing less than the stuff of print and play legend. Experience the original Project Shrinko game that has inspired so many other game shrinkification projects.",https://boardgamegeek.com/thread/1955117/wip-challenge-accepted-eldritch-horror-on-9-cards,,"9 cards, player boards",dice and cubes,English,2018,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/qjp9w7nWeWpQwTljqfyJ.png,BGG TOP RATED PNP GAMES,help@pnpfinder.com
Black Sonata,John Kean,Side Room Games,Free,,1,up to 30 minutes,12+,Crime / Mystery / Detective,Deduction,Point-to-Point Movement,LIGHT-MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Search London to deduce the identity of a mysterious Shakespearean lady.,Search London to deduce the identity of a mysterious Shakespearean lady.,https://boardgamegeek.com/filepage/151526/black-sonata-pnp-components,,"Board, cards",cubes and tokens,English,2017,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/FScwAVBXaHDfw7oJia8T.jpg,2025 PNP HIDEAWAY TOP 10,help@pnpfinder.com
For Northwood! A Solo Trick-Taking Game,Wilhelm Su,Side Room Games,Free,,1,up to 30 minutes,12+,Animals / Nature,Trick Taking,Hand Management,LIGHT-MEDIUM,,,Simple Cuts (a few cards or tiles),Woodland rulers engage in debate in this tactical solo trick-taking game.,Woodland rulers engage in debate in this tactical solo trick-taking game.,https://boardgamegeek.com/filepage/220228/9-card-per-page-pnp-file,,54 Cards,,English,2021,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/Hntr2MI6Q74ZdsWDXOJ4.png,2025 PNP HIDEAWAY TOP 10,help@pnpfinder.com
Krig,Alejandro Díaz,Web Published,Free,,2,up to 10 minutes,8+,War / Wargame,Dice Rolling,Critical Hits and Failures,LIGHT,,,Quick Print (no crafting required),A minimalist dice combat micro-game for 2 players.,"Krig is a minimalist dice combat micro-game for 2 players that involves luck and strategy. Each player uses a set of polyhedral dice to play, while each die has a particular use. During their turn, players perform one of the following actions: attack, defend, charge, or parry. Attack the opponent until their hit points counter gets to 0, and you win the match.",https://boardgamegeek.com/filepage/207377/rules-and-playmat,,Playmat,Two sets of polyhedral dice,English,2019,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/hshuQl9ql0WrAJhqC9C8.webp,,help@pnpfinder.com
Warp-Lancer,Martin Goudreault,Web Published,Paid,$6.99,1,120+ minutes,12+,Science Fiction,Dice Rolling,Action/Event,MEDIUM,,,"Advanced Crafting (many cards, folding boards, tiles, circle tokens)",A solo roguelike game of space exploration and combat.,"In this solo roguelike card game, you are a Warp-Lancer, a space captain for hire. You and your crew have been entrusted with a vital mission: deliver crucial information to the Federation headquarters before the Devot's armada can destroy what remains of society.",https://martyg.itch.io/warp-lancer,,Cards,"dice, cubes",English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/Gv5EdiFduPWPy4o48ftm.png,,help@pnpfinder.com
Terraforming Iowa,Arthur Wohlwill,Self Published,Free,,1,up to 20 minutes,10+,City Building,Tile Rearrangement,Route Building,LIGHT,,,Simple Cuts (a few cards or tiles),Tile sliding solo game,Tile sliding solo game,https://drive.google.com/drive/folders/1qN6nwodQif2TkYl03F8IDLjyMwHRD_dD?usp=drive_link,,2 pages of cards,Rules,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/fE6jyIDKw3jNzjGaK6Pf.png,,help@pnpfinder.com
Grim(m) World - First Steps,Raoul Schaupp,Web Published,Free,,1-2,up to 900 minutes,16+,Adventure,Storytelling,Action/Event,MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Feel free and do what you want in this fairy tale open-world adventure.,"Once upon a time, a nobody went out into the wide fairy tale world to escape from his dreary everyday life and become somebody. Be that nobody and become a somebody. Grim(m) World is a solo open-world card game set in the fairy tale world of the Brothers Grimm. Here you play an ordinary person who sets out to experience adventure. The player is not told how his journey should look like. He is free to decide where he goes and what he wants to do. Maybe he wants to accumulate trade and wealth? Or does he want to make a name for himself as a bounty hunter? Maybe he also wants to save Little Red Riding Hood from the bad wolf or even help the wolf hunting Little Red Riding Hood. The world reacts and changes based on your decisions. Are you ready for this adventure? Grim(m) World is based on the OWCS (Open World Card System). The OWCS is a system to simulate an Open World as a card game. An encounter deck with multi-use cards serves as a random encounter, as an object deck, it triggers quests, dice rolls are simulated, it defines prices for trading and it simulates the time in the game world. An additional quest deck simulates the living world in the game. Depending on the time in the game, new missions appear or disappear, events happen or the world changes. Additionally, your own character can be leveled up and becomes stronger and stronger as the game progresses. The battles in the game are fought on a grid field laid out with cards. Your hand cards serve as life points and determine the character's possible actions during a fight. The opponents are controlled by a simple card-based AI.",https://raoulschaupp.itch.io/grimm-world-first-steps,,Cards,"5 Meeples, 1 Cube",English,2021,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/y1Z0wv1iOkgQaGhnzCHY.jpg,,help@pnpfinder.com
Mars Rover,Shamus Smith,Cheeky Cockatoo Games,Free,,1,up to 60 minutes,13+,Science Fiction,Card Play,Push Your Luck,LIGHT-MEDIUM,,,Quick Print (no crafting required),"Navigate a robotic rover across Mars, detecting & drilling for soil samples.","Navigate a robotic rover across Mars, detecting & drilling for soil samples.",https://boardgamegeek.com/filepage/201479/cards-pnp,,Cards,,English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/8uk3xhWa52yKrUkVsFKO.jpg,,help@pnpfinder.com
Grimm World,Raoul Schaupp,Web Published,Paid,$7.99,1,up to 900 minutes,18+,Adventure,Storytelling,Action/Event,MEDIUM,Solo,Base Game,"Expert Crafting (100's of cards, many boards, many tiles and tokens, unique elements)",Feel free and do what you want in this fairy tale open-world RPG adventure.,"Dive into the Dark World of the Brothers Grimm! In Grimm World, you enter a dark world inspired by the fairy tales of the Brothers Grimm. You don't take on the role of a shining hero, but that of a simple citizen who wants to escape from his dreary everyday life. During your adventure, you will explore abandoned ruins, roam through dark forests, drink mead in dubious taverns and hunt wild creatures. Your decisions influence the entire game world, and random events, quests and rumors ensure that each campaign is unique. Key Features: Open World: Explore a dark world of fairy tales and legends inspired by the Brothers Grimm. Tactical Combat: Compete against fairy tale characters in dungeon crawler-inspired battles using a unique action-reaction combat system. Story-Driven Gameplay: Your decisions have far-reaching and lasting consequences in the game world. Will you save a village or help burn it down? Character Development: Use two multi-level skill trees and over 30 different pieces of equipment to customize your character to your liking. Alignment: Your actions in the game alter your character’s alignment. Will you become a merciless murderer or a shining hero? In Grimm World, anything is possible. Unique Time System: Every action in the game consumes time. While you’re enjoying another mug of mead in a tavern, elsewhere, an unfortunate grandmother might be devoured by a wolf. Playtime: Each campaign lasts 10-20 hours, and no two playthroughs are the same. Simple Save System: After each game round, you can save within 5 minutes by stacking the cards in a predetermined order.",https://raoulschaupp.itch.io/grimm-world,,"Cards, Markers",None,"English, German",2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/SSvwHU7CMtZN48vWKxW9.png,2024 BGG GOLDEN GEEK BEST PNP NOMINEES,help@pnpfinder.com
The Cleaner,Martin Gonzalvez and Janine Viglietti,Web Published,Free,,1,up to 60 minutes,14+,Crime / Mystery / Detective,Dice Rolling,Tile Removal,LIGHT-MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)",Clean the crime scene of evidence before the police arrive.,"You are the Cleaner. Your goal is to clean as much evidence as possible from each crime scene before the police arrive. You bring equipment to each crime scene and use your equipment to generate effort, with which you clean evidence tiles from the crime scene. The more evidence you are able to clean, the less chance you give the police to catch you.",https://boardgamegeek.com/filepage/191946/the-cleaner-pnp-files,,"Cards, Boards","Dice, tokens",English,2018,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/zW5W8GWK5niFoCw4igHf.png,,help@pnpfinder.com
Graduate in Necromancy,Tomas Glomb,Itch.io,Free,,1,up to 20 minutes,12+,Fantasy,Multi-use Cards,Deck Building,LIGHT,,,Simple Cuts (a few cards or tiles),Raise the dead and protect your sanity to graduate in necromancy.,"In this solo print-and-play 10–15 minute card game, you have to complete a Master’s degree in Necromancy in two semesters by completing courses and raising dead study buddies. However, completing courses drains your sanity. To graduate in necromancy, you have to a) collect at least 45 credits from courses, b) finish your thesis, and c) avoid insanity in the process of the academic year.",https://bulgur007.itch.io/graduate-in-necromancy,,Cards,,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/BkDrpmstbayZk3Jkt9RR.png,PNP HIDEAWAY HIDDEN GEMS,help@pnpfinder.com
The Promise (Free Prototype),Raoul Schaupp,Web Published,Free,,1-2,up to 45 minutes,14+,Fantasy,Dice Rolling,Grid Movement,MEDIUM,Solo/Cooperative,Base Game,Simple Cuts (a few cards or tiles),An 18-Card Boss Battler in the Grimm World Universe.,"The Promise is an 18-card boss battler. You battle with two characters against one enemy. Because your characters are very little, enemies are rats or birds. After hunting them, you take out the animals and build new equipment from their remains. This allows you to hunt these animals in a higher level, which will bring you more and also better body parts to craft more powerful weapons and armor.",https://raoulschaupp.itch.io/the-promise-prototype,,"Cards, Markers",8 Dice,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/3ZmUpX5K6OQloAZ8TILR.jpg,,help@pnpfinder.com
Deathmatch,Raoul Schaupp,Web Published,Free,,1-4,up to 90 minutes,14+,War / Wargame,Grid Movement,Hand Management,MEDIUM,,,Simple Cuts (a few cards or tiles),Deathmatch is a fast and tactical wargame based on video game shooters.,"Deathmatch is a fast and tactical wargame for 1-4 players, which is based on different video game shooters. Each player takes the role of a group of soldiers who are fighting in a arena for victory.",https://raoulschaupp.itch.io/deathmatch,,"Cards, Marker",,English,2011,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/deEocswDnbtez3T5soYg.png,,help@pnpfinder.com
1572: The Lost Expedition,Mike Heiman,Web Published,Free,,1,up to 90 minutes,12+,Historical,Push Your Luck,Hexploration,LIGHT-MEDIUM,,,Quick Print (no crafting required),Guide a small party of conquistadors trying to reach the Atlantic Ocean.,"This is a one page, ultra-portable, black and white solitaire game. You assume the role of a small party of conquistadors trying to reach the Atlantic Ocean after a failed expedition deep in the New World. This game is limited to 42 turns and each turn consists of phases such as Map Making, Exploring, and Hunting where a handful of dice are allocated in a press-your-luck fashion.",https://boardgamegeek.com/filepage/132235/1572-player-sheet-and-rules-pdf,,Paper,,English,2016,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/DuViQbGNLMKF5GALUJ4Z.jpg,,help@pnpfinder.com
Unexploded Cow,James Ernest,Cheapass Games,Free,$4,3+,up to 45 minutes,12+,Animals / Nature,Card Play,Dice Rolling,LIGHT,,,Simple Cuts (a few cards or tiles),A money card game in which players are trying to collect enough points to win the pot.,A money card game in which players are trying to collect enough points to win the pot.,https://crabfragmentlabs.com/shop/p/unexploded-cow,,Cards,6d,English,2001,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/jzrWsBApNqHWLZE93YLV.png,,help@pnpfinder.com
Enlightened,Arif Nezih SAVI,Keepers of Fun,Free,,3+,up to 60 minutes,8+,Historical,Climbing,Hand Management,LIGHT-MEDIUM,,,"Moderate Assembly (cards, boards, tiles, square tokens)",A strategic climbing card game based on the Wu Xing philosophy.,"Enlightened is a climbing card game inspired by traditional Chinese favorites like Big Two, Da Lao Er, and Zheng Fen. Players vie to be the first to empty their hand, but with a unique twist - there's no trump suit! Instead, you'll harness the dynamic interplay of Wood, Fire, Earth, Metal, and Water.",https://boardgamegeek.com/filepage/285841/enlightened-free-pnp,,72 cards,"Reference Sheet, Tuckbox",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/5efcmtQcmPLNEvqSfUe5.jpg,,help@pnpfinder.com
